"","500","1000","2000","5000","10000","20000"
"5202_lkflag","0.0056(0.0032)","0.0069(0.0028)","0.0095(0.0039)","0.0102(0.0016)","0.0097(8e-04)","0.0096(0.0015)"
"5301_rbf","0.0251(0.0195)","0.0164(0.0106)","0.0277(0.0116)","0.028(0.0101)","0.0253(0.0065)","0.0258(0.003)"
"5301_lkflag","0.0142(0.0126)","0.015(0.0104)","0.0208(0.0113)","0.0284(0.0091)","0.0288(0.0091)","0.0283(0.0052)"
"5302_rbf","0.0568(0.1103)","0.0127(0.0096)","0.0122(0.0056)","0.0136(0.0038)","0.0127(0.0022)","0.0136(0.0034)"
"5302_lkflag","0.0245(0.0433)","0.0092(0.0068)","0.0118(0.006)","0.0137(0.0042)","0.0129(0.0027)","0.0139(0.0036)"
"5401_rbf","0.0323(0.0127)","0.0297(0.008)","0.0283(0.01)","0.0351(0.0073)","0.0345(0.0064)","0.0364(0.0038)"
"5401_lkflag","0.0218(0.0111)","0.0226(0.0091)","0.0263(0.0073)","0.0349(0.0076)","0.034(0.0059)","0.0367(0.0055)"
"5402_rbf","0.0256(0.024)","0.0276(0.0169)","0.033(0.0101)","0.027(0.0072)","0.0316(0.0064)","0.0334(0.0038)"
"5402_lkflag","0.014(0.0074)","0.0189(0.0086)","0.0294(0.0127)","0.0252(0.0064)","0.0288(0.006)","0.0304(0.0039)"
"6001_rbf","0.0466(0.0284)","0.0283(0.0104)","0.0321(0.0043)","0.0283(0.0053)","0.0274(0.0023)","0.0254(0.0023)"
"6001_lkflag","0.0196(0.0117)","0.0166(0.0053)","0.0202(0.0033)","0.0219(0.0041)","0.0205(0.0019)","0.0203(0.0022)"
"6002_rbf","0.0271(0.0091)","0.0274(0.0131)","0.0259(0.011)","0.0252(0.0044)","0.025(0.0027)","0.023(0.0016)"
"6002_lkflag","0.0108(0.0062)","0.0138(0.0069)","0.0167(0.0031)","0.0192(0.0034)","0.0188(0.0016)","0.0186(0.0012)"
"6101_rbf","0.005(0.0027)","0.0084(0.0043)","0.0096(0.0031)","0.0078(0.0037)","0.0073(0.0012)","0.0082(0.0015)"
"6101_lkflag","0.0062(0.0043)","0.0094(0.0037)","0.0104(0.0023)","0.0095(0.0038)","0.01(0.0019)","0.0102(0.0015)"
"6102_rbf","0.0182(0.02)","0.0174(0.0105)","0.0168(0.0057)","0.0132(0.0047)","0.0136(0.0022)","0.0115(0.0015)"
"6102_lkflag","0.0087(0.0084)","0.008(0.0051)","0.014(0.0058)","0.0124(0.0043)","0.0128(0.0029)","0.0115(0.0016)"
"6201_rbf","0.0151(0.0147)","0.0174(0.0076)","0.0164(0.0074)","0.0136(0.0039)","0.0134(0.0017)","0.0123(0.001)"
"6201_lkflag","0.007(0.0044)","0.011(0.0089)","0.0112(0.0057)","0.0114(0.0032)","0.0118(0.0019)","0.0112(6e-04)"
"6202_rbf","0.011(0.0056)","0.024(0.0161)","0.0182(0.0063)","0.0159(0.0047)","0.018(0.0035)","0.0182(0.0017)"
