"","5000","10000","15000","20000","25000","30000"
"6002_rbf","0.0026(4e-04)","0.0025(5e-04)","0.0024(3e-04)","0.0023(3e-04)","0.0023(2e-04)","0.0023(2e-04)"
"6002_lkflag","6e-04(1e-04)","0.0013(2e-04)","0.0013(2e-04)","0.0016(1e-04)","0.0016(1e-04)","0.0017(0)"
"6101_rbf","0.0052(0.0012)","0.0042(6e-04)","0.0038(5e-04)","0.0034(6e-04)","0.0035(6e-04)","0.0033(4e-04)"
"6101_lkflag","0.0017(7e-04)","0.0028(4e-04)","0.0034(5e-04)","0.0036(6e-04)","0.0039(6e-04)","0.0038(4e-04)"
"6102_rbf","0.0037(9e-04)","0.003(7e-04)","0.003(8e-04)","0.0028(5e-04)","0.0026(6e-04)","0.0022(4e-04)"
"6102_lkflag","0.0011(5e-04)","0.0022(6e-04)","0.0029(4e-04)","0.0032(4e-04)","0.0031(4e-04)","0.0031(3e-04)"
"6201_rbf","0.0063(9e-04)","0.0062(7e-04)","0.0061(4e-04)","0.0054(6e-04)","0.0054(6e-04)","0.0053(6e-04)"
"6201_lkflag","0.0017(4e-04)","0.0039(6e-04)","0.0042(4e-04)","0.0044(4e-04)","0.0046(4e-04)","0.0048(3e-04)"
"6202_rbf","0.0028(6e-04)","0.0025(5e-04)","0.0022(5e-04)","0.0021(4e-04)","0.0018(3e-04)","0.0018(4e-04)"
"6202_lkflag","9e-04(3e-04)","0.0019(2e-04)","0.0022(3e-04)","0.0023(2e-04)","0.0024(3e-04)","0.0025(3e-04)"
"6211_rbf","0.0049(0.0011)","0.004(7e-04)","0.003(4e-04)","0.0031(6e-04)","0.0029(6e-04)","0.0028(4e-04)"
"6211_lkflag","0.0019(8e-04)","0.0033(6e-04)","0.004(6e-04)","0.0039(4e-04)","0.0038(5e-04)","0.004(4e-04)"
"6212_rbf","0.003(6e-04)","0.0025(7e-04)","0.0026(5e-04)","0.0024(3e-04)","0.0023(3e-04)","0.0022(2e-04)"
