"","500","1000","2000","5000","10000","20000"
"5301_lkflag","0.0302(0.0589)","0.0287(0.0242)","0.0519(0.0323)","0.0529(0.01)","0.0529(0.0066)","0.0496(0.0082)"
"5302_rbf","0.1146(0.1206)","0.1002(0.0736)","0.1008(0.037)","0.1098(0.0296)","0.089(0.0181)","0.0768(0.0086)"
"5302_lkflag","0.0444(0.0459)","0.0375(0.029)","0.0637(0.0326)","0.0651(0.0179)","0.0588(0.0149)","0.056(0.0069)"
"5401_rbf","0.0475(0.035)","0.0461(0.0255)","0.0432(0.015)","0.0482(0.009)","0.0463(0.0056)","0.044(0.0046)"
"5401_lkflag","0.0239(0.0189)","0.0357(0.025)","0.0383(0.0164)","0.0432(0.01)","0.0435(0.0062)","0.0406(0.0044)"
"5402_rbf","0.0492(0.0329)","0.0667(0.0369)","0.0474(0.0174)","0.0532(0.017)","0.0564(0.0088)","0.0525(0.0074)"
"5402_lkflag","0.0263(0.02)","0.0356(0.0174)","0.0351(0.0134)","0.0464(0.0126)","0.0488(0.0076)","0.0469(0.0057)"
"6001_rbf","0.0131(0.0092)","0.0116(0.0037)","0.0153(0.0027)","0.0143(0.0027)","0.0147(0.0014)","0.0147(0.0016)"
"6001_lkflag","0.0092(0.0093)","0.0106(0.004)","0.0143(0.0028)","0.0134(0.0023)","0.0146(0.0011)","0.0147(0.0015)"
"6002_rbf","0.0156(0.0101)","0.0149(0.0047)","0.0146(0.0043)","0.0135(0.002)","0.0143(0.0016)","0.0141(0.0013)"
"6002_lkflag","0.0117(0.0077)","0.0117(0.0064)","0.0123(0.0025)","0.0123(0.0027)","0.0136(0.002)","0.0133(0.0012)"
"6101_rbf","0.082(0.0975)","0.0606(0.04)","0.0371(0.019)","0.0389(0.0047)","0.04(0.007)","0.0383(0.0056)"
"6101_lkflag","0.0351(0.0338)","0.036(0.0285)","0.0243(0.0148)","0.0315(0.0068)","0.0374(0.0061)","0.0368(0.0063)"
"6102_rbf","0.0316(0.0329)","0.0429(0.0366)","0.052(0.028)","0.0487(0.0109)","0.0411(0.0112)","0.0403(0.0069)"
"6102_lkflag","0.011(0.0137)","0.0259(0.0147)","0.0431(0.0218)","0.0444(0.0105)","0.0393(0.0094)","0.0395(0.0074)"
"6201_rbf","0.0261(0.0145)","0.0259(0.0119)","0.0237(0.0104)","0.0239(0.0044)","0.0235(0.0026)","0.0235(0.003)"
"6201_lkflag","0.0137(0.008)","0.023(0.0097)","0.0205(0.0099)","0.0224(0.0028)","0.0242(0.0028)","0.0246(0.0033)"
"6202_rbf","0.0106(0.0104)","0.0117(0.0064)","0.0151(0.0055)","0.0134(0.005)","0.0132(0.0023)","0.0128(9e-04)"
"6202_lkflag","0.0059(0.0047)","0.0096(0.0043)","0.0116(0.0059)","0.0118(0.0041)","0.0126(0.0023)","0.013(0.0014)"
"6211_rbf","0.0169(0.0204)","0.021(0.0175)","0.0228(0.0066)","0.0188(0.0047)","0.0219(0.0044)","0.0188(0.0032)"
"6211_lkflag","0.0081(0.0101)","0.0142(0.0109)","0.0167(0.0057)","0.0156(0.0047)","0.0175(0.003)","0.0164(0.0026)"
"6212_rbf","0.0061(0.0039)","0.0071(0.0029)","0.0078(0.0021)","0.0073(0.0013)","0.007(5e-04)","0.0073(0.0012)"
"6212_lkflag","0.0085(0.0054)","0.0091(0.0057)","0.0102(0.0037)","0.0102(0.0037)","0.0096(0.001)","0.0101(0.0014)"
"6221_rbf","0.0155(0.0214)","0.0327(0.0196)","0.0185(0.0102)","0.0228(0.0055)","0.0194(0.0024)","0.0205(0.0033)"
"6221_lkflag","0.0106(0.0106)","0.0331(0.0188)","0.028(0.0155)","0.0298(0.0067)","0.0257(0.0033)","0.0257(0.0036)"
"6222_rbf","0.0141(0.0184)","0.0291(0.0126)","0.0249(0.0083)","0.0312(0.0085)","0.0354(0.0061)","0.0325(0.0037)"
"6222_lkflag","0.0091(0.0107)","0.0216(0.009)","0.0218(0.0076)","0.0284(0.0085)","0.0316(0.0041)","0.0302(0.003)"
"6301_rbf","0.0576(0.0259)","0.048(0.02)","0.0568(0.0158)","0.0683(0.0125)","0.0579(0.0066)","0.0641(0.0031)"
